,0,1,2
0, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 10,95 € </span> </span>","<div class=""reduction-data pull-right""></div>"
1, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 21,50 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-17%</span> <span class=""old-price product-price"">25,70 €</span></div>"
2, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 34,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-15%</span> <span class=""old-price product-price"">41,15 €</span></div>"
3, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 25,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-16%</span> <span class=""old-price product-price"">30,85 €</span></div>"
4, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 29,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-17%</span> <span class=""old-price product-price"">36,00 €</span></div>"
5, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 21,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-17%</span> <span class=""old-price product-price"">26,45 €</span></div>"
6, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 11,75 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-16%</span> <span class=""old-price product-price"">13,90 €</span></div>"
7, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 10,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-19%</span> <span class=""old-price product-price"">13,50 €</span></div>"
8, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 25,50 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-16%</span> <span class=""old-price product-price"">30,20 €</span></div>"
9, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 10,50 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-16%</span> <span class=""old-price product-price"">12,40 €</span></div>"
10, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 4,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-21%</span> <span class=""old-price product-price"">6,30 €</span></div>"
11, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 20,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-21%</span> <span class=""old-price product-price"">26,45 €</span></div>"
12, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 20,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-21%</span> <span class=""old-price product-price"">26,45 €</span></div>"
13, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 1,99 € </span> </span>","<div class=""reduction-data pull-right""></div>"
14, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 1,99 € </span> </span>","<div class=""reduction-data pull-right""></div>"
15, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> Desde </span> <span> 9,95 € </span> </span>","<div class=""reduction-data pull-right""></div>"
16, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 10,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-14%</span> <span class=""old-price product-price"">12,75 €</span></div>"
17, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 7,95 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-19%</span> <span class=""old-price product-price"">9,75 €</span></div>"
18, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 28,75 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-16%</span> <span class=""old-price product-price"">34,00 €</span></div>"
19, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 7,95 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-28%</span> <span class=""old-price product-price"">10,95 €</span></div>"
20, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 15,99 € </span> </span>","<div class=""reduction-data pull-right""></div>"
21, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 14,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-17%</span> <span class=""old-price product-price"">18,05 €</span></div>"
22, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 28,75 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-21%</span> <span class=""old-price product-price"">36,00 €</span></div>"
23, ,"<span class=""price product-price pull-left""> <span class=""product-price-from""> </span> <span> 13,99 € </span> </span>","<div class=""reduction-data pull-right""> <span class=""price-percent-reduction pull-right"">-14%</span> <span class=""old-price product-price"">16,10 €</span></div>"
